Date,Total_Orders,Average_Delivery_Time,Median_Delivery_Time,Average_Distance_KM,Average_Agent_Rating,Average_Pickup_Delay,Festival,Is_Monsoon,Dominant_Traffic,Dominant_Weather,Average_Demand_Pressure,Actual_Demand,Forecast_Demand,Actual_Demand_Capacity,Forecast_Demand_Capacity,Base_Agents_Required,Agents_With_Safety_Buffer,Recommended_Agents,Planned_Delivery_Capacity,Capacity_Surplus,Demand_Risk,Expected_Utilization_Percent,Actual_vs_Forecast,Actual_Capacity_Gap,Month,Delivery_Performance_Status,Forecast_Error,Forecast_Absolute_Error,Forecast_Error_Percent,Capacity_Gap,Utilization_Status,Operational_Risk_Score,Operational_Risk_Level,Recommended_Action
2024-01-01,904,72.89933628318585,71.0,8.790077433628317,4.60962389380531,11.680309734513274,None,False,Jam,Fog,0.909,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-02,817,70.80660954712363,69.0,8.808837209302325,4.623500611995104,11.799265605875153,None,False,Low,Fog,0.822,,,,,,,,,,,,,,,Good,,,,,,4.0,Medium,Operations performing within expected range
2024-01-03,1002,74.24251497005989,73.0,8.990578842315369,4.633033932135729,11.578842315369261,None,False,Jam,Fog,1.008,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-04,959,74.0636079249218,72.0,9.24832116788321,4.627320125130344,11.903023983315954,None,False,Jam,Fog,0.965,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-05,798,70.83709273182957,69.0,8.968233082706767,4.617543859649123,11.780701754385966,None,False,Jam,Fog,0.8029999999999999,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-06,815,71.77791411042945,70.0,8.844907975460123,4.6188957055214726,11.812269938650306,None,False,Jam,Stormy,0.82,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-07,911,71.94291986827662,69.0,8.970406147091108,4.61569703622393,11.734357848518112,None,False,Jam,Fog,0.916,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-08,860,71.2046511627907,69.0,8.830127906976744,4.624651162790697,11.597674418604651,None,False,Jam,Fog,0.865,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-09,891,71.92031425364759,70.0,9.011335578002246,4.617059483726151,11.729517396184063,None,False,Jam,Windy,0.896,,,,,,,,,,,,,,,Good,,,,,,5.0,Medium,Increase route optimization and dispatch monitoring
2024-01-10,882,71.61111111111111,69.0,8.891269841269843,4.622448979591836,11.727891156462585,None,False,Jam,Fog,0.8870000000000001,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-11,955,73.74136125654451,71.0,9.133633507853403,4.633717277486911,11.758115183246073,None,False,Jam,Windy,0.961,,,,,,,,,,,,,,,Good,,,,,,5.0,Medium,Increase route optimization and dispatch monitoring
2024-01-12,1005,73.76019900497512,70.0,8.969960199004975,4.619203980099503,11.60497512437811,None,False,Low,Fog,1.011,,,,,,,,,,,,,,,Good,,,,,,4.0,Medium,Operations performing within expected range
2024-01-13,915,72.4896174863388,71.0,8.908284153005464,4.6251366120218576,11.605464480874318,None,False,Jam,Stormy,0.921,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-14,983,73.72227873855545,72.0,8.834374364191252,4.617395727365208,11.843336724313327,None,False,Jam,Stormy,0.989,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-15,916,71.47816593886463,70.0,8.792554585152837,4.628602620087336,11.602620087336245,None,False,Jam,Fog,0.922,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-16,832,71.44350961538461,68.0,9.073076923076924,4.623798076923077,11.69110576923077,None,False,Jam,Stormy,0.837,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-17,975,72.01333333333334,70.0,8.354010256410255,4.617538461538462,11.50051282051282,None,False,Jam,Sunny,0.981,,,,,,,,,,,,,,,Good,,,,,,5.0,Medium,Increase route optimization and dispatch monitoring
2024-01-18,825,70.90787878787879,67.0,8.737381818181818,4.604484848484848,11.853333333333333,None,False,Jam,Fog,0.83,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-19,1014,73.45364891518737,71.0,8.711311637080868,4.627810650887574,11.890532544378699,None,False,Jam,Sandstorms,1.02,,,,,,,,,,,,,,,Good,,,,,,5.0,Medium,Increase route optimization and dispatch monitoring
2024-01-20,908,72.2147577092511,69.0,8.908953744493392,4.619493392070485,11.768722466960352,None,False,Jam,Stormy,0.913,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-21,889,71.53880764904387,69.0,8.799651293588301,4.62710911136108,11.796400449943757,None,False,Jam,Fog,0.8939999999999999,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-22,836,70.38875598086125,68.0,9.220574162679425,4.621650717703349,11.299043062200957,None,False,Low,Fog,0.8410000000000001,,,,,,,,,,,,,,,Good,,,,,,4.0,Medium,Operations performing within expected range
2024-01-23,981,74.59734964322121,73.0,8.833047910295615,4.623139653414883,11.533129459734964,None,False,Jam,Fog,0.987,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-24,936,72.6207264957265,71.0,8.73017094017094,4.610897435897436,11.737179487179487,None,False,Jam,Fog,0.942,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-25,863,71.39397450753187,69.0,8.906477404403244,4.618887601390498,11.938586326767092,None,False,Jam,Fog,0.8679999999999999,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-26,921,73.57980456026058,71.0,8.910054288816504,4.61357220412595,12.009771986970684,None,False,Jam,Windy,0.927,,,,,,,,,,,,,,,Good,,,,,,5.0,Medium,Increase route optimization and dispatch monitoring
2024-01-27,951,71.07045215562566,69.0,8.585268138801261,4.619663512092535,11.585699263932703,None,False,Jam,Windy,0.957,,,,,,,,,,,,,,,Good,,,,,,5.0,Medium,Increase route optimization and dispatch monitoring
2024-01-28,930,72.0731182795699,70.0,8.700440860215053,4.622043010752688,11.758064516129032,None,False,Jam,Stormy,0.936,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-29,914,72.17286652078775,69.0,9.028019693654267,4.6156455142231945,11.934354485776804,None,False,Jam,Fog,0.92,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-30,925,72.40756756756757,69.0,9.318367567567567,4.603135135135135,11.563243243243242,None,False,Jam,Fog,0.931,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-01-31,1111,75.96129612961296,74.0,8.692997299729972,4.614761476147614,12.009000900090008,None,False,Jam,Sandstorms,1.118,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-02-01,884,70.92533936651584,68.0,8.756889140271493,4.617533936651584,11.605203619909503,None,False,Jam,Fog,0.889,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
2024-02-02,929,72.90527448869753,70.0,8.820161463939721,4.620990312163617,11.870828848223896,None,False,Jam,Fog,0.935,,,,,,,,,,,,,,,Good,,,,,,6.0,Medium,Increase route optimization and dispatch monitoring
